tx,timestamp,block,output_amount0,output_amount1,output_liquidity,params
0x215d31f0f39def619c3f5ff86fcbd1d7fd18499517ed791739d7a7e827f185bf,2023-05-02 08:28:32.000 UTC,2.785325e+07,152634076194231238,38185543793522715502,93188053224979719699,"{""tokenId"":65952,""amount0Desired"":152634076194231238,""amount1Desired"":38185543793522715502,""amount0Min"":149676169916241925,""amount1Min"":37451944135290542888,""deadline"":1683017300}"
0xb2845696451b40080707ffdc54455c06d27d06d5a935e58f1c282fa51a78eea9,2023-05-02 08:24:17.000 UTC,2.7853165e+07,3313328322830152193,2652104598198633274,52585463855571739229,"{""tokenId"":63004,""amount0Desired"":3313328322830152193,""amount1Desired"":2652104598198633274,""amount0Min"":3230634160665404392,""amount1Min"":2443628826938411760,""deadline"":1683017036}"
0x16b7a2fd29a8039c0437641e438d0a9c213fffe3eb12350a7cc08ee297cb2031,2023-05-02 08:21:23.000 UTC,2.7853107e+07,3198364081996666349222,44247674106456026382210,13216310901820104910433086,"{""tokenId"":65900,""amount0Desired"":3199912362518072204962,""amount1Desired"":44247674106456026382210,""amount0Min"":0,""amount1Min"":33780725906761603853200,""deadline"":1683016865}"
0x3e6d86d71069b321b2bb989e30ac09bc5e0d6f6f6145e780f509bc4ed6c6a1e8,2023-05-02 08:12:59.000 UTC,2.7852939e+07,23829875530983796222,0,663641695056968850526,"{""tokenId"":62135,""amount0Desired"":23829875530983796222,""amount1Desired"":0,""amount0Min"":0,""amount1Min"":0,""deadline"":1683016361}"
0x9644135e76e071b57b85068590d1281de1c9556112c8c32c618997b361f1262e,2023-05-02 08:14:20.000 UTC,2.7852966e+07,23829875530983796222,0,532109146241043258747,"{""tokenId"":47114,""amount0Desired"":23829875530983796222,""amount1Desired"":0,""amount0Min"":5681925165987722764,""amount1Min"":0,""deadline"":1683016445}"
0x166debf197e0f4af6bfca65357759308759476bd384386f0e3f9de11837c200c,2023-05-02 08:13:47.000 UTC,2.7852955e+07,10188726364745767,749545476566817509,70194052077164560530,"{""tokenId"":65936,""amount0Desired"":10188726364745767,""amount1Desired"":749545476566817509,""amount0Min"":0,""amount1Min"":0,""deadline"":1683016385}"
0xd68c37d19db3d300ac254057faf3783d8fcbf1e28618b4c0fa88e5da5cb8fb01,2023-05-02 08:12:11.000 UTC,2.7852923e+07,40416496184478715757,283176182683615077,2099720811121364727718,"{""tokenId"":62137,""amount0Desired"":40416496184478715757,""amount1Desired"":284516240809830214,""amount0Min"":0,""amount1Min"":0,""deadline"":1683016310}"
0xd277d0c316d0732fba2eea46d4f55fb6937e2fe0a50a6ec2e224008fa4261c0c,2023-04-28 07:52:46.000 UTC,2.7737485e+07,324035829352240436472,1001003720000000000001,5426216580501493838601,"{""tokenId"":59199,""amount0Desired"":324035829352240436472,""amount1Desired"":1001003720000000000001,""amount0Min"":315755581733082320877,""amount1Min"":978834523852488781848,""deadline"":1682669554}"
0x396c47b167c8cb0898eb2f6840971b570d4817390bc4a193b24c2d83958b40b4,2023-04-28 07:54:22.000 UTC,2.7737517e+07,0,25745624903180149675490,6317339456954668503928824,"{""tokenId"":58919,""amount0Desired"":561761941805918693557,""amount1Desired"":25745624903180149675490,""amount0Min"":0,""amount1Min"":0,""deadline"":1682669650}"
0x4ba3e8014f2482bc5995faf89eb8aac20ca800c5f1bb2e44f3233001ac546737,2023-04-28 07:59:04.000 UTC,2.7737611e+07,855454483536,2267616785,196347286612,"{""tokenId"":11904,""amount0Desired"":855698588494,""amount1Desired"":2267616785,""amount0Min"":850289115055,""amount1Min"":2223165841,""deadline"":1682669908}"
0xe4e6b8e8445c3ab2bc5e456946aa82d75e4fdd3b6c7eb10f241c1fdef3338a6f,2023-04-28 08:00:46.000 UTC,2.7737645e+07,22530674318023537054199,29883085231155917454146,524165625191395187273955185,"{""tokenId"":33882,""amount0Desired"":22530711304044791081414,""amount1Desired"":29883085231155917454146,""amount0Min"":0,""amount1Min"":0,""deadline"":1682670022}"
0xce8da034164d58ee8ac4896a1eb0e837fa0493e60a70b0714f18905d319ad077,2023-04-28 08:07:39.000 UTC,2.7737781e+07,238188367485579289756,4328075182446071,41562372294870488700,"{""tokenId"":58126,""amount0Desired"":238188367485579289756,""amount1Desired"":4328075182446071,""amount0Min"":220423917821858223864,""amount1Min"":3721830529798619,""deadline"":1682670435}"
0x7b7db2d8f0c9092f8340a65c0cb97bea62fa545e954ed20755f1edc5178bf691,2023-04-28 08:15:12.000 UTC,2.7737932e+07,11051177889362271659925,178653528536443645083,1190882589603228837458469,"{""tokenId"":59537,""amount0Desired"":11051177889362271659925,""amount1Desired"":178653528536443645083,""amount0Min"":4471293053966743178987,""amount1Min"":124796467426251208763,""deadline"":1682670894}"
0x1b1118f4470958ccc9a97a0d91094b09257d0dfef8654e1bb7206c5729ec71ce,2023-04-28 08:22:48.000 UTC,2.7738084e+07,319897016287510410214,1005299999999999999999,5406608188696334517243,"{""tokenId"":59199,""amount0Desired"":319897016287510410214,""amount1Desired"":1005299999999999999999,""amount0Min"":311654082452598105846,""amount1Min"":983191106681536423845,""deadline"":1682671350}"
0xc786672f1618b2738ebf5a00b7d8e70f7fea6a4a8a55d34a6066146a38ad03a5,2023-04-28 08:25:21.000 UTC,2.7738135e+07,0,2037702001835871051084,10188509996444991204227857,"{""tokenId"":52236,""amount0Desired"":49366151277990484,""amount1Desired"":2037702001835871051084,""amount0Min"":0,""amount1Min"":0,""deadline"":1682670321}"
0x7c30e59330d0f9d880585a71cee8e95a6c5ffca71f7e99341afa1b24ef1f26f4,2023-04-28 08:26:36.000 UTC,2.773816e+07,17800000000000000000,2189919584976995096,39773971469745087024376,"{""tokenId"":59557,""amount0Desired"":17800000000000000000,""amount1Desired"":2189919584976995096,""amount0Min"":0,""amount1Min"":0,""deadline"":1682671584}"
0x4adffb9f66b604031f86343289d5be165abd9bd0077c02befbe1cf726d1d7785,2023-04-28 08:27:51.000 UTC,2.7738185e+07,558435220168340160477,11125347964843928,100715336870876791179,"{""tokenId"":58126,""amount0Desired"":558435220168340160477,""amount1Desired"":11125347964843928,""amount0Min"":515434510955654158734,""amount1Min"":9654680031357715,""deadline"":1682671650}"
